agent_id,critical_path_candidate,decode_end_time,decode_start_time,decode_tokens,finish_time,input_tokens,model_name,motif_type,node_id,node_type,output_tokens,prefill_end_time,prefill_start_time,prefill_tokens,prompt_hash,prompt_segments,queue_end_time,queue_start_time,reasoning_tokens,relative_end_sec,relative_start_sec,request_e2e_sec,request_id,role,sampling_params,segment_hashes,status,submit_time,tpot,ttft,workflow_name,workflow_run_id
opinion_3,False,1780471384.9731612,1780471378.2581372,368,1780471384.9731612,2571,local-mas-model,debate,opinion_3,peer_agent,368,unavailable,unavailable,2571,2ed7486e299e439e3654f705dd59af89efb756c90589197d6b7de637727ef391,"{""system_prompt_tokens"": 4, ""task_prompt_tokens"": 2567, ""shared_context_tokens"": 2567, ""private_memory_tokens"": 2567, ""retrieved_tool_context_tokens"": null, ""peer_message_tokens"": 0, ""review_feedback_tokens"": null, ""final_instruction_tokens"": 0}",unavailable,unavailable,unavailable,13.6509,6.935876,6.715024,7bd2897b-6860-418d-8f20-8446d39bd9b2,peer_agent,"{""max_output_tokens"": 384}",{},success,1780471378.253863,unavailable,unavailable,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_1,False,1780471384.973373,1780471378.2592564,369,1780471384.973373,2571,local-mas-model,debate,opinion_1,peer_agent,369,unavailable,unavailable,2571,2ed7486e299e439e3654f705dd59af89efb756c90589197d6b7de637727ef391,"{""system_prompt_tokens"": 4, ""task_prompt_tokens"": 2567, ""shared_context_tokens"": 2567, ""private_memory_tokens"": 2567, ""retrieved_tool_context_tokens"": null, ""peer_message_tokens"": 0, ""review_feedback_tokens"": null, ""final_instruction_tokens"": 0}",unavailable,unavailable,unavailable,13.654945,6.940828,6.714117,bdec2609-b9c8-4148-8027-5c8a63663ea9,peer_agent,"{""max_output_tokens"": 384}",{},success,1780471378.253168,unavailable,unavailable,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_2,False,1780471384.973283,1780471378.259973,368,1780471384.973283,2571,local-mas-model,debate,opinion_2,peer_agent,368,unavailable,unavailable,2571,2ed7486e299e439e3654f705dd59af89efb756c90589197d6b7de637727ef391,"{""system_prompt_tokens"": 4, ""task_prompt_tokens"": 2567, ""shared_context_tokens"": 2567, ""private_memory_tokens"": 2567, ""retrieved_tool_context_tokens"": null, ""peer_message_tokens"": 0, ""review_feedback_tokens"": null, ""final_instruction_tokens"": 0}",unavailable,unavailable,unavailable,13.655319,6.9420090000000005,6.71331,61d051b0-f780-46b2-9391-95e6c0c94faf,peer_agent,"{""max_output_tokens"": 384}",{},success,1780471378.2540426,unavailable,unavailable,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_5,False,1780471384.9729555,1780471378.2625587,368,1780471384.9729555,2571,local-mas-model,debate,opinion_5,peer_agent,368,unavailable,unavailable,2571,2ed7486e299e439e3654f705dd59af89efb756c90589197d6b7de637727ef391,"{""system_prompt_tokens"": 4, ""task_prompt_tokens"": 2567, ""shared_context_tokens"": 2567, ""private_memory_tokens"": 2567, ""retrieved_tool_context_tokens"": null, ""peer_message_tokens"": 0, ""review_feedback_tokens"": null, ""final_instruction_tokens"": 0}",unavailable,unavailable,unavailable,13.655769,6.945371999999999,6.710397,17fe560b-ebbf-4119-86b1-7519e6d8040c,peer_agent,"{""max_output_tokens"": 384}",{},success,1780471378.2557194,unavailable,unavailable,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_6,False,1780471384.972825,1780471378.2646635,369,1780471384.972825,2571,local-mas-model,debate,opinion_6,peer_agent,369,unavailable,unavailable,2571,2ed7486e299e439e3654f705dd59af89efb756c90589197d6b7de637727ef391,"{""system_prompt_tokens"": 4, ""task_prompt_tokens"": 2567, ""shared_context_tokens"": 2567, ""private_memory_tokens"": 2567, ""retrieved_tool_context_tokens"": null, ""peer_message_tokens"": 0, ""review_feedback_tokens"": null, ""final_instruction_tokens"": 0}",unavailable,unavailable,unavailable,13.655983,6.947821000000001,6.708162,1477ec11-5798-4d2b-9c42-413382ebc043,peer_agent,"{""max_output_tokens"": 384}",{},success,1780471378.256448,unavailable,unavailable,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
opinion_4,False,1780471384.9730697,1780471378.2657974,369,1780471384.9730697,2571,local-mas-model,debate,opinion_4,peer_agent,369,unavailable,unavailable,2571,2ed7486e299e439e3654f705dd59af89efb756c90589197d6b7de637727ef391,"{""system_prompt_tokens"": 4, ""task_prompt_tokens"": 2567, ""shared_context_tokens"": 2567, ""private_memory_tokens"": 2567, ""retrieved_tool_context_tokens"": null, ""peer_message_tokens"": 0, ""review_feedback_tokens"": null, ""final_instruction_tokens"": 0}",unavailable,unavailable,unavailable,13.656243,6.948971,6.707272,2ecd801b-f814-490a-b582-d0bbe16e2a1a,peer_agent,"{""max_output_tokens"": 384}",{},success,1780471378.2559586,unavailable,unavailable,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
agent_3_round_1,False,1780471392.8711054,1780471385.0032606,369,1780471392.8711054,2625,local-mas-model,debate,agent_3_round_1,peer_agent,369,unavailable,unavailable,2625,cf553fdcbe4b6ddf6ca1d6dfab56959194e4ffb8115f8e5dcc7dbf36c2d1b620,"{""system_prompt_tokens"": 7, ""task_prompt_tokens"": 2618, ""shared_context_tokens"": 2618, ""private_memory_tokens"": 368, ""retrieved_tool_context_tokens"": null, ""peer_message_tokens"": 2244, ""review_feedback_tokens"": null, ""final_instruction_tokens"": 0}",unavailable,unavailable,unavailable,21.556032,13.688187,7.867845,00d17cec-454f-4e7f-83b7-1c2393b7efa5,peer_agent,"{""max_output_tokens"": 384}","{""opinion_1"": ""e45bb8338fdfdc80"", ""opinion_2"": ""3721643c20548586"", ""opinion_3"": ""f50819ad03057a32"", ""opinion_4"": ""f925880996ee5eb9"", ""opinion_5"": ""04bee6a708dc1e10"", ""opinion_6"": ""13482c0641ec50f0""}",success,1780471384.9977753,unavailable,unavailable,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
agent_6_round_1,False,1780471392.9025607,1780471385.0045516,369,1780471392.9025607,2627,local-mas-model,debate,agent_6_round_1,peer_agent,369,unavailable,unavailable,2627,51e685fb345df39223fc5ed0723b5c4750c4f49d10e3aae99af5a0b9380c0443,"{""system_prompt_tokens"": 7, ""task_prompt_tokens"": 2620, ""shared_context_tokens"": 2620, ""private_memory_tokens"": 369, ""retrieved_tool_context_tokens"": null, ""peer_message_tokens"": 2245, ""review_feedback_tokens"": null, ""final_instruction_tokens"": 0}",unavailable,unavailable,unavailable,21.586186,13.688177000000001,7.898009,fd9fba1b-7aa1-4734-8134-825c54800022,peer_agent,"{""max_output_tokens"": 384}","{""opinion_1"": ""e45bb8338fdfdc80"", ""opinion_2"": ""3721643c20548586"", ""opinion_3"": ""f50819ad03057a32"", ""opinion_4"": ""f925880996ee5eb9"", ""opinion_5"": ""04bee6a708dc1e10"", ""opinion_6"": ""13482c0641ec50f0""}",success,1780471384.9989934,unavailable,unavailable,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
agent_2_round_1,False,1780471392.9330301,1780471385.0065203,369,1780471392.9330301,2626,local-mas-model,debate,agent_2_round_1,peer_agent,369,unavailable,unavailable,2626,979da6224cb4903967c208a161cc0f8e3de769424ce06ab270690842795f24c8,"{""system_prompt_tokens"": 7, ""task_prompt_tokens"": 2619, ""shared_context_tokens"": 2619, ""private_memory_tokens"": 368, ""retrieved_tool_context_tokens"": null, ""peer_message_tokens"": 2245, ""review_feedback_tokens"": null, ""final_instruction_tokens"": 0}",unavailable,unavailable,unavailable,21.615937,13.689426999999998,7.92651,253d5eae-7b43-4a46-9ff3-f90f867b72a1,peer_agent,"{""max_output_tokens"": 384}","{""opinion_1"": ""e45bb8338fdfdc80"", ""opinion_2"": ""3721643c20548586"", ""opinion_3"": ""f50819ad03057a32"", ""opinion_4"": ""f925880996ee5eb9"", ""opinion_5"": ""04bee6a708dc1e10"", ""opinion_6"": ""13482c0641ec50f0""}",success,1780471384.9983397,unavailable,unavailable,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
agent_1_round_1,False,1780471392.9477448,1780471385.0051746,368,1780471392.9477448,2625,local-mas-model,debate,agent_1_round_1,peer_agent,368,unavailable,unavailable,2625,47c68959495cfc45a13605ae267ad54087bd688529ecbb5bb21395f7d93899f6,"{""system_prompt_tokens"": 7, ""task_prompt_tokens"": 2618, ""shared_context_tokens"": 2618, ""private_memory_tokens"": 369, ""retrieved_tool_context_tokens"": null, ""peer_message_tokens"": 2244, ""review_feedback_tokens"": null, ""final_instruction_tokens"": 0}",unavailable,unavailable,unavailable,21.630208,13.687638,7.94257,46693d12-6fa2-4866-a2f2-b4f8a468a65c,peer_agent,"{""max_output_tokens"": 384}","{""opinion_1"": ""e45bb8338fdfdc80"", ""opinion_2"": ""3721643c20548586"", ""opinion_3"": ""f50819ad03057a32"", ""opinion_4"": ""f925880996ee5eb9"", ""opinion_5"": ""04bee6a708dc1e10"", ""opinion_6"": ""13482c0641ec50f0""}",success,1780471384.998185,unavailable,unavailable,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
agent_4_round_1,False,1780471392.9774237,1780471385.007186,368,1780471392.9774237,2626,local-mas-model,debate,agent_4_round_1,peer_agent,368,unavailable,unavailable,2626,47024d57488f85d9c5c81286a34e365bc41af89d81dc11a924ac676684bc5fbf,"{""system_prompt_tokens"": 7, ""task_prompt_tokens"": 2619, ""shared_context_tokens"": 2619, ""private_memory_tokens"": 369, ""retrieved_tool_context_tokens"": null, ""peer_message_tokens"": 2244, ""review_feedback_tokens"": null, ""final_instruction_tokens"": 0}",unavailable,unavailable,unavailable,21.659763,13.689525000000001,7.970238,ae0a6f35-507f-4452-b30a-19567c3f6cf0,peer_agent,"{""max_output_tokens"": 384}","{""opinion_1"": ""e45bb8338fdfdc80"", ""opinion_2"": ""3721643c20548586"", ""opinion_3"": ""f50819ad03057a32"", ""opinion_4"": ""f925880996ee5eb9"", ""opinion_5"": ""04bee6a708dc1e10"", ""opinion_6"": ""13482c0641ec50f0""}",success,1780471384.9985647,unavailable,unavailable,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
agent_5_round_1,False,1780471393.00623,1780471385.0057976,369,1780471393.00623,2624,local-mas-model,debate,agent_5_round_1,peer_agent,369,unavailable,unavailable,2624,bef6dd9f19e71214418d45f830074abfbedfe62000af18009a0bb900ca407878,"{""system_prompt_tokens"": 7, ""task_prompt_tokens"": 2617, ""shared_context_tokens"": 2617, ""private_memory_tokens"": 368, ""retrieved_tool_context_tokens"": null, ""peer_message_tokens"": 2244, ""review_feedback_tokens"": null, ""final_instruction_tokens"": 0}",unavailable,unavailable,unavailable,21.688559,13.688127000000001,8.000432,1d3b4aad-b572-474b-9bd7-2861af51c6b8,peer_agent,"{""max_output_tokens"": 384}","{""opinion_1"": ""e45bb8338fdfdc80"", ""opinion_2"": ""3721643c20548586"", ""opinion_3"": ""f50819ad03057a32"", ""opinion_4"": ""f925880996ee5eb9"", ""opinion_5"": ""04bee6a708dc1e10"", ""opinion_6"": ""13482c0641ec50f0""}",success,1780471384.9987268,unavailable,unavailable,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
