barrier_id,barrier_release_time,barrier_type,downstream_node_ids,earliest_arrival_time,latest_arrival_time,motif_type,participating_node_ids,per_node_wait_time,straggler_gap,workflow_name,workflow_run_id
all_gather_barrier_r1,21.690425,debate_round_sync,[],21.556032,21.688559,debate,"[""agent_3_round_1"", ""agent_6_round_1"", ""agent_2_round_1"", ""agent_1_round_1"", ""agent_4_round_1"", ""agent_5_round_1""]","{""agent_3_round_1"": 0.13439300000000287, ""agent_6_round_1"": 0.10423899999999975, ""agent_2_round_1"": 0.07448800000000233, ""agent_1_round_1"": 0.06021700000000152, ""agent_4_round_1"": 0.030661999999999523, ""agent_5_round_1"": 0.0018659999999997012}",0.13252700000000317,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
all_gather_barrier_r2,29.620995,debate_round_sync,[],29.489532,29.619709,debate,"[""agent_2_round_2"", ""agent_1_round_2"", ""agent_5_round_2"", ""agent_6_round_2"", ""agent_3_round_2"", ""agent_4_round_2""]","{""agent_2_round_2"": 0.1314630000000001, ""agent_1_round_2"": 0.0989670000000018, ""agent_5_round_2"": 0.06934599999999946, ""agent_6_round_2"": 0.05658999999999992, ""agent_3_round_2"": 0.024436000000001457, ""agent_4_round_2"": 0.0012860000000003424}",0.13017699999999977,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
all_gather_barrier_r3,37.70286,debate_round_sync,[],37.567272,37.700748,debate,"[""agent_1_round_3"", ""agent_4_round_3"", ""agent_2_round_3"", ""agent_5_round_3"", ""agent_3_round_3"", ""agent_6_round_3""]","{""agent_1_round_3"": 0.1355879999999985, ""agent_4_round_3"": 0.10478799999999922, ""agent_2_round_3"": 0.07469400000000093, ""agent_5_round_3"": 0.061308000000003915, ""agent_3_round_3"": 0.02941500000000019, ""agent_6_round_3"": 0.0021120000000038885}",0.1334759999999946,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
evidence_merge_barrier,14.8522,fan_in_merge,[],14.62892,14.850759,independent_multi_branch,"[""tool_agent"", ""searcher"", ""repo_searcher"", ""doc_searcher""]","{""tool_agent"": 0.22327999999999903, ""searcher"": 0.20963399999999943, ""repo_searcher"": 0.0016020000000001033, ""doc_searcher"": 0.0014409999999998035}",0.22183899999999923,evidence_collection,evidence_collection_20260603_152058_347660
group_2_barrier,16.68479,fan_in_merge,[],16.595274,16.682841,manager_worker,"[""group_2_agent_1"", ""group_2_agent_2"", ""group_2_agent_4"", ""group_2_agent_3""]","{""group_2_agent_1"": 0.0895159999999997, ""group_2_agent_2"": 0.040424999999999045, ""group_2_agent_4"": 0.002269999999999328, ""group_2_agent_3"": 0.0019489999999997565}",0.08756699999999995,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
group_3_barrier,16.694553,fan_in_merge,[],16.666108,16.692956,manager_worker,"[""group_3_agent_1"", ""group_3_agent_3"", ""group_3_agent_2"", ""group_3_agent_4""]","{""group_3_agent_1"": 0.028444999999997833, ""group_3_agent_3"": 0.0259539999999987, ""group_3_agent_2"": 0.011890999999998542, ""group_3_agent_4"": 0.0015970000000002926}",0.02684799999999754,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
group_1_barrier,16.704146,fan_in_merge,[],16.627545,16.701354,manager_worker,"[""group_1_agent_3"", ""group_1_agent_4"", ""group_1_agent_2"", ""group_1_agent_1""]","{""group_1_agent_3"": 0.07660100000000014, ""group_1_agent_4"": 0.018437999999999732, ""group_1_agent_2"": 0.011019000000001, ""group_1_agent_1"": 0.0027920000000030143}",0.07380899999999713,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
group_4_barrier,16.704693,fan_in_merge,[],16.666297,16.701754,manager_worker,"[""group_4_agent_3"", ""group_4_agent_4"", ""group_4_agent_2"", ""group_4_agent_1""]","{""group_4_agent_3"": 0.038395999999998764, ""group_4_agent_4"": 0.037971999999999895, ""group_4_agent_2"": 0.021649999999997505, ""group_4_agent_1"": 0.0029389999999978045}",0.03545700000000096,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
cross_group_barrier,23.35656,fan_in_merge,[],23.311971,23.355264,manager_worker,"[""group_3_synth"", ""group_2_synth"", ""group_1_synth"", ""group_4_synth""]","{""group_3_synth"": 0.04458900000000199, ""group_2_synth"": 0.029857000000003353, ""group_1_synth"": 0.014948000000000405, ""group_4_synth"": 0.0012960000000035166}",0.04329299999999847,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
hybrid_peer_barrier_mr0_pr1,21.926504,debate_round_sync,[],21.896048,21.924984,hybrid_manager_peer,"[""hybrid_agent_issue_triage_mr0_pr1"", ""hybrid_agent_api_doc_mr0_pr1"", ""hybrid_agent_code_localization_mr0_pr1"", ""hybrid_agent_repo_search_mr0_pr1""]","{""hybrid_agent_issue_triage_mr0_pr1"": 0.030456000000000927, ""hybrid_agent_api_doc_mr0_pr1"": 0.01869399999999999, ""hybrid_agent_code_localization_mr0_pr1"": 0.004099000000000075, ""hybrid_agent_repo_search_mr0_pr1"": 0.0015200000000028524}",0.028935999999998074,hybrid,hybrid_20260603_152755_367539
